vin,perc_days,avg_daily_max,avg_daily_mean,overall_max,overall_mean,mean_day_length_g,mean_day_length_r_g,mean_drive_length_r_g,mean_drive_length_g
ZHWCT4ZF2LLA13722,0.6,120.79989873130947,48.7933068441323,141.622,48.7933068441323,1824.8666666666666,1932.2,591.4897959183673,667.6341463414634
ZHWCT4ZF9MLA17204,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZHWCT4ZFXLLA13662,0.27586206896551724,127.14405543398979,51.815463165572574,158,51.815463165572574,1793.142857142857,2547.4285714285716,990.6666666666666,1141.090909090909
ZHWCT5ZF1NLA18502,0.1702127659574468,110.31372549019608,46.27124183006536,150,46.27124183006536,2308,575.8571428571429,201.55,2308
ZHWCT5ZF3NLA18162,0.3684210526315789,136.10026705511046,51.90102775754633,150,51.90102775754633,5768.833333333333,6678.857142857143,1640.421052631579,2662.5384615384614
ZHWCT5ZF4MLA16421,0.27835051546391754,118.04721470560791,46.6518615284128,175,46.6518615284128,2946.529411764706,2974.3846153846152,1104.7714285714285,1517.909090909091
ZHWCT5ZF4MLA17519,0.1,135.12360275150473,67.73151332760104,144,67.73151332760104,105.38666666666667,89.60833333333333,38.40357142857143,52.693333333333335
ZHWCT5ZF4MLA17715,0.3025210084033613,93.56041226871973,35.38246616167888,119,35.38246616167888,2136.535714285714,2051.3611111111113,568.0692307692308,920.3538461538461
ZHWCT5ZF4MLA17732,0.4117647058823529,158.64004652064352,58.171803321057055,216,58.171803321057055,4271.481481481482,4657.071428571428,1124.1206896551723,2023.3333333333333
ZHWCT5ZF5LLA15003,0.47368421052631576,123.06666666666666,53.670707070707074,158,53.670707070707074,2563.8,835.8235294117648,489.9655172413793,1281.9
ZHWCT5ZF5MLA17612,0.415,191.8558293787748,62.981152933563415,279,62.981152933563415,3585.8333333333335,3270.5301204819275,881.3441558441558,1415.4605263157894
ZHWCT5ZF5NLA18535,0.23255813953488372,93.77231565329883,41.690815006468306,138,41.690815006468306,NA,344,129,NA
ZHWCT5ZF7LLA14905,0.28125,144.78248022114192,61.706891621389765,208,61.706891621389765,3921.625,3290.9615384615386,1069.5625,2163.655172413793
ZHWCT5ZF7LLA15200,0.20454545454545456,100.95397727272727,47.54318181818182,111,47.54318181818182,1824.2857142857142,1608.75,990,1160.909090909091
ZHWCT5ZF9MLA17595,0.34831460674157305,111.41844405594405,43.230856643356645,148,43.230856643356645,2172.464285714286,2607.2903225806454,939.8372093023256,1031
ZHWCT5ZF9MLA17838,0.31521739130434784,147.7740128248397,54.58636517043537,177,54.58636517043537,3419.2,3749.535714285714,771.9632352941177,1110.1298701298701
ZHWCT5ZF9NLA17923,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZHWEA6ZX0MLA17529,0.3238095238095238,90.1648664013644,31.546143642220958,164,31.546143642220958,1610.6666666666667,626.8235294117648,258.3272727272727,1208
ZHWEA6ZX0MLA17563,0.25888324873096447,174.70106047578102,59.94840928632846,280,59.94840928632846,3627.3,1232.52,416.3918918918919,2267.0625
ZHWEA6ZX0MLA17613,0.18781725888324874,110.64265505984766,28.615233949945594,218,28.615233949945594,3125.6,1108.4594594594594,356.6347826086957,1488.3809523809523
ZHWEA6ZX0MLA17675,0.21052631578947367,191.55354581176323,87.94455186178507,265,87.94455186178507,7043,2384.675,836.7280701754386,3353.809523809524
ZHWEA6ZX0MLA17711,0.21965317919075145,164.6025428984908,59.41585693611743,216,59.41585693611743,5327.111111111111,1903.162162162162,658.1028037383178,2523.3684210526317
ZHWEA6ZX0MLA17742,0.3314285714285714,81.90644422561135,37.78128394754141,173.809,37.78128394754142,1784.1891891891892,1641.155172413793,638.8389261744967,1100.25
ZHWEA6ZX0MLA17823,0.29518072289156627,160.46914206057534,45.735394753516665,246,45.735394753516665,2887.5384615384614,1087.2448979591836,388.86861313868616,1501.52
